name,categories,Small Category,address,cc,city,country,crossStreet,distance,formattedAddress,labeledLatLngs,lat,lng,postalCode,state,id,Cluster Labels
Safeway,Grocery Store,Retail,906 E Olive St,US,Lamar,United States,,976,"['906 E Olive St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.0874377, 'lng': -102.6080211}]",38.0874377,-102.6080211,81052,CO,4bf2f0c26a31d13aeb15942e,0
Lamar Building. Material Supply,Hardware Store,Retail,224 N Main St,US,Lamar,United States,,761,"['224 N Main St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.09182635193943, 'lng': -102.61902093887329}]",38.09182635,-102.6190209,81052,CO,4fee0a24f31cbd261818c525,2
Marples Country Market,Health Food Store,Retail,101 N 4th St,US,Lamar,United States,Hickory,598,"['101 N 4th St (Hickory)', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.09033845319945, 'lng': -102.61805827154873}]",38.09033845,-102.6180583,81052,CO,5144a7cfe4b0dba1abf45a41,2
Lefferdink Law Office,Lawyer,Service,409 S Main St,US,Lamar,United States,,395,"['409 S Main St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.088522, 'lng': -102.618252}]",38.088522,-102.618252,81052,CO,5033d771e4b05a5f620bd34d,4
Lamar Public Library,Library,Government,102 E Parmenter St,US,Lamar,United States,,43,"['102 E Parmenter St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08490368653267, 'lng': -102.61823766999868}]",38.08490369,-102.6182377,81052,CO,4dac75f24df01c19b1b4ddba,4
DeLoach's Water,Library,Service,103 S 2nd St,US,Lamar,United States,,502,"['103 S 2nd St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.0886206, 'lng': -102.6153122}]",38.0886206,-102.6153122,81052,CO,4ced91fe821254810cd65fa1,0
Coronica's Liquor Store,Liquor Store,Retail,,US,Lamar,United States,,582,"['Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.09021938149136, 'lng': -102.61872541093892}]",38.09021938,-102.6187254,81052,CO,4fd4f903e4b05a4abb0bf4c8,2
Corner Liquor,Liquor Store,Retail,,US,Lamar,United States,,804,"['Lamar, CO', 'United States']","[{'label': 'display', 'lat': 38.077773, 'lng': -102.618175}]",38.077773,-102.618175,,CO,515f7ca3e4b081b1c446ed2a,1
J & N Shoes,Market,Retail,,US,Lamar,United States,,498,"['Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08944998094519, 'lng': -102.61920754767966}]",38.08944998,-102.6192075,81052,CO,5111819ce4b06e49556b6473,2
Las Brisas Mexican Restaurant,Mexican Restaurant,Restaurant,301-399 S Main St,US,Lamar,United States,,236,"['301-399 S Main St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08705687398643, 'lng': -102.61934770408536}]",38.08705687,-102.6193477,81052,CO,4db1c3fb0cb6442b2ed0c4d6,4
Brisas,Mexican Restaurant,Restaurant,,US,Lamar,United States,,255,"['Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.087188720703125, 'lng': -102.61955261230469}]",38.08718872,-102.6195526,81052,CO,4ed6a30a9911b345bd303421,4
Lucy's Tacos # 2,Mexican Restaurant,Restaurant,,US,Lamar,United States,,797,"['Lamar, CO', 'United States']","[{'label': 'display', 'lat': 38.077818, 'lng': -102.618729}]",38.077818,-102.618729,,CO,553838aa498e3e5e07665c92,1
Lamar Middle School,Middle School,Education,104 Park,US,Lamar,United States,,204,"['104 Park', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08327830407507, 'lng': -102.61957756095777}]",38.0832783,-102.6195776,81052,CO,4dc1d7f57d8b686fa4700cfe,4
Verizon,Mobile Phone Shop,Retail,,US,Lamar,United States,,351,"['Lamar, CO', 'United States']","[{'label': 'display', 'lat': 38.088142, 'lng': -102.618947}]",38.088142,-102.618947,,CO,51c8afce498ed8aaf8f37b27,4
Madonna of the Trail,Monument / Landmark,Government,East Beech St & South Main St,US,Lamar,United States,,485,"['East Beech St & South Main St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08934382048351, 'lng': -102.61893510818481}]",38.08934382,-102.6189351,81052,CO,50077130f1369ba7bca37fe8,4
Holiday Motel,Motel,Hotel,404 N Main St,US,Lamar,United States,,982,"['404 N Main St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.09380187, 'lng': -102.61931181}]",38.09380187,-102.6193118,81052,CO,4de6c9bc18381a514be7c8fa,2
Chek Inn Lamar,Motel,Hotel,1210 S Main St,US,Lamar,United States,,904,"['1210 S Main St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.07686355026913, 'lng': -102.619117847669}]",38.07686355,-102.6191178,81052,CO,4bd73cb0304fce72074033ab,1
Lamar Theatre,Movie Theater,Fun,219 S Main St,US,Lamar,United States,,278,"['219 S Main St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.087483569534456, 'lng': -102.61890481042202}]",38.08748357,-102.6189048,81052,CO,4dbf256490a08997e2826dcb,4
CenturyLink Office Lamar,Office,Service,,US,Lamar,United States,,202,"['Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.086333, 'lng': -102.61717}]",38.086333,-102.61717,81052,CO,4f45422de4b025d8442d0355,4
Robinson Printing,Office,Service,210 S Main St,US,Lamar,United States,,316,"['210 S Main St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08776499, 'lng': -102.61946124}]",38.08776499,-102.6194612,81052,CO,4c6aa007897b1b8deb35b217,4
Farmers Insurance,Office,Service,202 S. Main,US,Lamar,United States,,350,"['202 S. Main', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08777618408203, 'lng': -102.6205825805664}]",38.08777618,-102.6205826,81052,CO,52f2758c498e3851653aa593,4
Ark Valley Optometry,Optical Shop,Medical,,US,Lamar,United States,,451,"['Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.088036201676495, 'lng': -102.61532247961489}]",38.0880362,-102.6153225,81052,CO,50c61f4be4b09269c6f73b73,0
Lamar's Enchanted Forest,Park,Government,,US,Lamar,United States,Beech st.,496,"['Beech st.', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.089391, 'lng': -102.617827}]",38.089391,-102.617827,81052,CO,59cad45e535d6f1a7f3c1423,4
Little Caesars Pizza,Pizza Place,Restaurant,1203 S Main St,US,Lamar,United States,,742,"['1203 S Main St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.07832781175093, 'lng': -102.61815357694067}]",38.07832781,-102.6181536,81052,CO,4e4d5e03bd413c4cc6708051,1
Prowers County Sheriffs Office,Police Station,Government,103 E Oak St,US,Lamar,United States,,158,"['103 E Oak St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.086326599121094, 'lng': -102.61811065673828}]",38.0863266,-102.6181107,81052,CO,4e541a7245ddffa8d196546a,4
Lamar Police Department,Police Station,Government,,US,Lamar,United States,,630,"['Lamar, CO', 'United States']","[{'label': 'display', 'lat': 38.0906294883047, 'lng': -102.61934770408537}]",38.09062949,-102.6193477,,CO,51f836ab498e0101a4d7606d,2
US Post Office,Post Office,Government,300 S 5th St,US,Lamar,United States,,255,"['300 S 5th St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08669231622695, 'lng': -102.62067317962646}]",38.08669232,-102.6206732,81052,CO,50077088f1369ba7bca36a30,4
Colorado East Bank,Professional & Other Places,Service,,US,Lamar,United States,,74,"['Lamar, CO', 'United States']","[{'label': 'display', 'lat': 38.08447277468658, 'lng': -102.61926921647729}]",38.08447277,-102.6192692,,CO,4e243ccbfa761d6710979c5c,4
Farmers Insurance,Professional & Other Places,Service,202 S 5th St,US,Lamar,United States,,397,"['202 S 5th St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08815944, 'lng': -102.6207971}]",38.08815944,-102.6207971,81052,CO,564500c6498edf3cd0e18b5e,4
Jeni & Mariaha Salon,Salon / Barbershop,Service,,US,Lamar,United States,,1032,"['Lamar, CO', 'United States']","[{'label': 'display', 'lat': 38.075714111328125, 'lng': -102.61894989013672}]",38.07571411,-102.6189499,,CO,538a2599498ef492b7c4ecb4,1
Cat Call Salon,Salon / Barbershop,Service,,US,Lamar,United States,,989,"['Lamar, CO', 'United States']","[{'label': 'display', 'lat': 38.09387379616229, 'lng': -102.61905057270658}]",38.0938738,-102.6190506,,CO,53274131498eca1c830765fa,2
Quiznos,Sandwich Place,Restaurant,113 E Olive St,US,Lamar,United States,,394,"['113 E Olive St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.0885221, 'lng': -102.6184342}]",38.0885221,-102.6184342,81052,CO,4c4b2c7a9e6dbe9acda7af0b,4
Good Eats,Snack Place,Restaurant,106 S Main St,US,Lamar,United States,,437,"['106 S Main St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.088897, 'lng': -102.619229}]",38.088897,-102.619229,81052,CO,54932f37498ee4527f489573,4
Mr. D's Sports,Sporting Goods Shop,Retail,102 S Main St,US,Lamar,United States,,480,"['102 S Main St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08922576904297, 'lng': -102.61974334716797}]",38.08922577,-102.6197433,81052,CO,52c5cc82498e7052440772d5,4
Thai Spicy Basil,Thai Restaurant,Restaurant,10 N Main St,US,Lamar,United States,,572,"['10 N Main St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.090124712803075, 'lng': -102.6189068080737}]",38.09012471,-102.6189068,81052,CO,4bc51eca4a9aa5934525067b,2
Colorado Welcome Center,Tourist Information Center,Government,109 E Beech St,US,Lamar,United States,,530,"['109 E Beech St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.089749728451466, 'lng': -102.61859478589847}]",38.08974973,-102.6185948,81052,CO,4bed80342a7bb7133b11cf9d,2
Amtrak - Lamar Station (LMR),Train Station,Service,219 S Main St,US,Lamar,United States,Beech St.,543,"['219 S Main St (Beech St.)', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.089864091483676, 'lng': -102.61842803387356}]",38.08986409,-102.618428,81052,CO,4d004f137c563704e2a9aff0,2
Redbox,Video Store,Service,1107 S Main St,US,Lamar,United States,,765,"['1107 S Main St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.07811, 'lng': -102.61843}]",38.07811,-102.61843,81052,CO,4e31c42f2fb6ede816e3579c,1
A and B Liquors,Wine Bar,Retail,804 E Olive St,US,Lamar,United States,,856,"['804 E Olive St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.088395, 'lng': -102.609949}]",38.088395,-102.609949,81052,CO,4f32b12a19836c91c7f06158,0
FNB Motor Bank,,Service,400 S Main St,US,Lamar,United States,,162,"['400 S Main St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08640241622925, 'lng': -102.61918723583221}]",38.08640242,-102.6191872,81052,CO,4bfaf444cb2ca59330fa82b3,4
Pierre Auger Observatory surface detector station,,Government,S. Main,US,Lamar,United States,,811,"['S. Main', 'Lamar, CO', 'United States']","[{'label': 'display', 'lat': 38.077728152275085, 'lng': -102.61785686016083}]",38.07772815,-102.6178569,,CO,4bef4e61ea570f47003a8fd2,1
Danny Duke's,,Restaurant,S 11th St,US,Lamar,United States,,848,"['S 11th St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08328032493591, 'lng': -102.62815654277802}]",38.08328032,-102.6281565,81052,CO,4bf2099b3fa220a1b6071920,3
the gap,,Retail,Lamar & 38th,US,Austin,United States,,430,"['Lamar & 38th', 'Austin, CO', 'United States']","[{'label': 'display', 'lat': 38.081164666666666, 'lng': -102.6179887}]",38.08116467,-102.6179887,,CO,4ac9289df964a520eabe20e3,1
Kenroes Video,,Service,403 E Olive St,US,Lamar,United States,,528,"['403 E Olive St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.088735938072205, 'lng': -102.61501908302307}]",38.08873594,-102.6150191,81052,CO,4beda2563372c92836f01114,0
The Mane Attraction,,Service,105 E Elm St,US,Lamar,United States,,253,"['105 E Elm St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08726, 'lng': -102.61872}]",38.08726,-102.61872,81052,CO,4dc185d2ae60533f34f3fe46,4
Valley National Bank,,Service,204 S 4th St,US,Lamar,United States,,492,"['204 S 4th St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08916666666667, 'lng': -102.616875}]",38.08916667,-102.616875,81052,CO,4cc988cc5c7e8cfae8334566,4
DENIM & LACE Revue,,Fun,,US,Lamar,United States,,423,"['Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08368, 'lng': -102.62326}]",38.08368,-102.62326,81052,CO,4d98ce0d0caaa1437b1cb6b3,3
Senior Citizens Center,,Government,Olive st,US,Lamar,United States,,586,"['Olive st', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.088759933333336, 'lng': -102.61404686666667}]",38.08875993,-102.6140469,81052,CO,4ce474b1637c6ea8c68c5842,0
The Shore Arts and Crafts,,Service,S Main,US,Lamar,United States,,560,"['S Main', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.090016444109914, 'lng': -102.61893284161634}]",38.09001644,-102.6189328,81052,CO,4cca3bfeb8c8224b59f414ba,2
Westhoff Home,,Service,907 S 7th St,US,Lamar,United States,,622,"['907 S 7th St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08017364923049, 'lng': -102.62233587899235}]",38.08017365,-102.6223359,81052,CO,4ececcf8d5fb788de3ca8fa5,3
Stockmen Lounge,,Restaurant,,US,Lamar,United States,,953,"['Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.076422, 'lng': -102.6189228}]",38.076422,-102.6189228,81052,CO,4e93867db63439ea00f942b8,1
Here Without You,,Service,Lamar,US,Lamar,United States,,917,"['Lamar', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.09244, 'lng': -102.62319}]",38.09244,-102.62319,81052,CO,4d57a236d1a08cfaca9e05ba,2
